Protocol,Noise_Profile,F_Eve,QBER_Threshold,CHSH_Threshold,Mean_Metric,Std_Metric,Mean_SKR,Std_SKR,FPR,FNR
Six-State,Noise_2%,0.5,0.167,N/A,0.17488293863477522,0.018459513833420253,0.0,0.0,0.0,0.34
Six-State,Noise_2%,0.6,0.167,N/A,0.21410670573660984,0.02504385156368344,0.0,0.0,0.0,0.02
Six-State,Noise_2%,0.7,0.167,N/A,0.2405928057078843,0.02426206369648943,0.0,0.0,0.0,0.0
Six-State,Noise_2%,0.8,0.167,N/A,0.2759684086386451,0.023002458912997858,0.0,0.0,0.0,0.0
Six-State,Noise_2%,0.9,0.167,N/A,0.31632159666170695,0.022982268597581547,0.0,0.0,0.0,0.0
Six-State,Noise_2%,1.0,0.167,N/A,0.3391940490383657,0.02414185387882609,0.0,0.0,0.0,0.0
Six-State,Noise_5%,0.0,0.167,N/A,0.05014688903707409,0.011477758083300496,0.14265628168441238,0.03135452869326735,0.0,0.0
Six-State,Noise_5%,0.1,0.167,N/A,0.07460707675410527,0.014561532766955217,0.08006080305975885,0.03264732821829721,0.0,1.0
Six-State,Noise_5%,0.2,0.167,N/A,0.11221125728520598,0.01730333291334262,0.013020941760162058,0.021793288071216665,0.0,1.0
Six-State,Noise_5%,0.3,0.167,N/A,0.14352432834016776,0.016684612348053678,0.0,0.0,0.0,0.92
Six-State,Noise_5%,0.4,0.167,N/A,0.1711870650488312,0.018720078452191175,0.0,0.0,0.0,0.36
Six-State,Noise_5%,0.5,0.167,N/A,0.1974792798091055,0.019333214853154382,0.0,0.0,0.0,0.08
Six-State,Noise_5%,0.6,0.167,N/A,0.22982588549222915,0.02066342666283367,0.0,0.0,0.0,0.0
Six-State,Noise_5%,0.7,0.167,N/A,0.26034514621524274,0.027339939888395025,0.0,0.0,0.0,0.0
Six-State,Noise_5%,0.8,0.167,N/A,0.2908211830644797,0.023864491842636972,0.0,0.0,0.0,0.0
Six-State,Noise_5%,0.9,0.167,N/A,0.3194875304866825,0.02425445378407496,0.0,0.0,0.0,0.0
Six-State,Noise_5%,1.0,0.167,N/A,0.34938665891336235,0.022455433462856833,0.0,0.0,0.0,0.0
Six-State,Noise_8%,0.0,0.167,N/A,0.08093751345514166,0.01082220385375351,0.06409252641409731,0.026085643725933135,0.0,0.0
Six-State,Noise_8%,0.1,0.167,N/A,0.10713173249996193,0.020032826160027422,0.020153183167713334,0.029115831016512186,0.0,1.0
Six-State,Noise_8%,0.2,0.167,N/A,0.13382147750458087,0.023468697482116056,0.0040137740758143334,0.011511279921886084,0.0,0.9
Six-State,Noise_8%,0.3,0.167,N/A,0.1629642941947325,0.01867555837887177,0.0,0.0,0.0,0.62
Six-State,Noise_8%,0.4,0.167,N/A,0.19449395821582235,0.023025011561723627,0.0,0.0,0.0,0.1
Six-State,Noise_8%,0.5,0.167,N/A,0.21720505826814482,0.022062601223963158,0.0,0.0,0.0,0.02
Six-State,Noise_8%,0.6,0.167,N/A,0.24855213032285572,0.030018587571528272,0.0,0.0,0.0,0.0
Six-State,Noise_8%,0.7,0.167,N/A,0.27687499291372736,0.022406320126147662,0.0,0.0,0.0,0.0
Six-State,Noise_8%,0.8,0.167,N/A,0.30253704099128215,0.024874951434856536,0.0,0.0,0.0,0.0
Six-State,Noise_8%,0.9,0.167,N/A,0.33634945637487873,0.026271820035776904,0.0,0.0,0.0,0.0
Six-State,Noise_8%,1.0,0.167,N/A,0.3572341574332333,0.025666912303900283,0.0,0.0,0.0,0.0
Six-State,Threshold_11%,0.0,0.167,N/A,0.10566696166452,0.0157390094044383,0.018644439937727873,0.022853688182739695,0.0,0.0
Six-State,Threshold_11%,0.1,0.167,N/A,0.13712276934323298,0.017218578675235612,0.00086764265849686,0.00371057255557184,0.0,0.96
