Protocol,Channel,P_Noise,F_Eve,Trial,Metric_Name,Metric,SKR,Alarm,Detection_Outcome,N,n_sift,m,n_key,Q,leak_EC
E91,Ideal_0%,0.0,0.7,104,CHSH_S,1.9197567148082713,0.0,1,0,8192,1765,882,883,0.14787535410764874,239
E91,Ideal_0%,0.0,0.7,105,CHSH_S,1.8145507426516194,0.0,1,0,8192,1788,894,894,0.15156599552572708,273
E91,Ideal_0%,0.0,0.7,106,CHSH_S,1.8834259888079843,0.0,1,0,8192,1875,938,937,0.152,271
E91,Ideal_0%,0.0,0.7,107,CHSH_S,1.8218544053014898,0.0,1,0,8192,1907,954,953,0.14525432616675407,291
E91,Ideal_0%,0.0,0.7,108,CHSH_S,1.778666172821767,0.0,1,0,8192,1847,924,923,0.1396859772604223,251
E91,Ideal_0%,0.0,0.7,109,CHSH_S,1.8947035053025005,0.0,1,0,8192,1864,932,932,0.13841201716738197,273
E91,Ideal_0%,0.0,0.7,110,CHSH_S,1.836049646680171,0.0,1,0,8192,1798,899,899,0.14126807563959956,287
E91,Ideal_0%,0.0,0.7,111,CHSH_S,1.9146233308213307,0.0,1,0,8192,1798,899,899,0.1457174638487208,277
E91,Ideal_0%,0.0,0.7,112,CHSH_S,1.8016606685961727,0.0,1,0,8192,1779,890,889,0.1489600899381675,268
E91,Ideal_0%,0.0,0.7,113,CHSH_S,1.711154205390204,0.0,1,0,8192,1800,900,900,0.1361111111111111,253
E91,Ideal_0%,0.0,0.7,114,CHSH_S,1.7849769440131615,0.0,1,0,8192,1798,899,899,0.1496106785317019,245
E91,Ideal_0%,0.0,0.7,115,CHSH_S,1.8274636525716317,0.0,1,0,8192,1835,918,917,0.14986376021798364,274
E91,Ideal_0%,0.0,0.7,116,CHSH_S,1.724974791243283,0.0,1,0,8192,1828,914,914,0.1575492341356674,241
E91,Ideal_0%,0.0,0.7,117,CHSH_S,1.8172545585756983,0.0,1,0,8192,1819,910,909,0.1423859263331501,264
E91,Ideal_0%,0.0,0.7,118,CHSH_S,1.8612384840763396,0.0,1,0,8192,1880,940,940,0.15212765957446808,300
E91,Ideal_0%,0.0,0.7,119,CHSH_S,1.7883922577366678,0.0,1,0,8192,1863,932,931,0.1347289318303811,302
E91,Ideal_0%,0.0,0.7,120,CHSH_S,1.7769582944229523,0.0,1,0,8192,1788,894,894,0.14149888143176734,250
E91,Ideal_0%,0.0,0.7,121,CHSH_S,1.769893412025568,0.0,1,0,8192,1801,900,901,0.14658523042754026,254
E91,Ideal_0%,0.0,0.7,122,CHSH_S,1.894183871024309,0.0,1,0,8192,1813,906,907,0.1533370104798676,279
E91,Ideal_0%,0.0,0.7,123,CHSH_S,1.8688883329289632,0.0,1,0,8192,1828,914,914,0.14934354485776805,311
E91,Ideal_0%,0.0,0.7,124,CHSH_S,1.8881334980186777,0.0,1,0,8192,1775,888,887,0.14704225352112676,261
E91,Ideal_0%,0.0,0.7,125,CHSH_S,1.853198768288686,0.0,1,0,8192,1874,937,937,0.13233724653148346,262
E91,Ideal_0%,0.0,0.7,126,CHSH_S,1.9065191013640146,0.0,1,0,8192,1839,920,919,0.1506253398586188,277
E91,Ideal_0%,0.0,0.7,127,CHSH_S,1.863119629026432,0.0,1,0,8192,1861,930,931,0.14185921547555078,261
E91,Ideal_0%,0.0,0.7,128,CHSH_S,1.9022594479869046,0.0,1,0,8192,1774,887,887,0.14374295377677565,276
E91,Ideal_0%,0.0,0.7,129,CHSH_S,1.8660262435193598,0.0,1,0,8192,1841,920,921,0.1385116784356328,260
