Protocol,Sweep,Config_Profile,Config_Point,Metric_Name,N_Trials,Running_Mean,Running_SE
BB84,sweep_a,Ideal_0%,f=0.6,QBER,10,0.14214992779036456,0.006855361963643883
BB84,sweep_a,Ideal_0%,f=0.6,QBER,25,0.14914389832170083,0.00456436225221828
BB84,sweep_a,Ideal_0%,f=0.6,QBER,50,0.14795143077587528,0.002653328629235559
BB84,sweep_a,Ideal_0%,f=0.6,QBER,100,0.14845310260267722,0.0017460287654104088
BB84,sweep_a,Ideal_0%,f=0.6,QBER,200,0.14872729995483958,0.0011660484645115154
BB84,sweep_a,Ideal_0%,f=0.6,SKR,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.6,SKR,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.6,SKR,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.6,SKR,100,0.00029068570788772944,0.00029068570788772944
BB84,sweep_a,Ideal_0%,f=0.6,SKR,200,0.00014534285394386472,0.00014534285394386475
BB84,sweep_a,Ideal_0%,f=0.6,FNR,10,0.4,0.1632993161855452
BB84,sweep_a,Ideal_0%,f=0.6,FNR,25,0.28,0.09165151389911681
BB84,sweep_a,Ideal_0%,f=0.6,FNR,50,0.22,0.05917804336345138
BB84,sweep_a,Ideal_0%,f=0.6,FNR,100,0.2,0.04020151261036849
BB84,sweep_a,Ideal_0%,f=0.6,FNR,200,0.21,0.028873315391699354
BB84,sweep_a,Ideal_0%,f=0.7,QBER,10,0.1805651815032169,0.005891166516415803
BB84,sweep_a,Ideal_0%,f=0.7,QBER,25,0.18031640624648934,0.0036302850999073767
BB84,sweep_a,Ideal_0%,f=0.7,QBER,50,0.17658870823773615,0.0025402951968814184
BB84,sweep_a,Ideal_0%,f=0.7,QBER,100,0.17547699205590905,0.0017406556537735065
BB84,sweep_a,Ideal_0%,f=0.7,QBER,200,0.17347871623861555,0.0011995579710823848
BB84,sweep_a,Ideal_0%,f=0.7,SKR,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.7,SKR,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.7,SKR,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.7,SKR,100,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.7,SKR,200,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.7,FNR,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.7,FNR,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.7,FNR,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.7,FNR,100,0.01,0.009999999999999998
BB84,sweep_a,Ideal_0%,f=0.7,FNR,200,0.01,0.007053278933842965
BB84,sweep_a,Ideal_0%,f=0.8,QBER,10,0.20520345644717836,0.004290415466147736
BB84,sweep_a,Ideal_0%,f=0.8,QBER,25,0.19747694288142875,0.0036654569400037854
BB84,sweep_a,Ideal_0%,f=0.8,QBER,50,0.19708718580607626,0.002756589950969635
BB84,sweep_a,Ideal_0%,f=0.8,QBER,100,0.19758001136611356,0.0018041059915828452
BB84,sweep_a,Ideal_0%,f=0.8,QBER,200,0.1965141853177877,0.001276568994626992
BB84,sweep_a,Ideal_0%,f=0.8,SKR,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.8,SKR,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.8,SKR,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.8,SKR,100,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.8,SKR,200,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.8,FNR,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.8,FNR,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.8,FNR,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.8,FNR,100,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.8,FNR,200,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,QBER,10,0.21159695074521395,0.003328075909732212
BB84,sweep_a,Ideal_0%,f=0.9,QBER,25,0.21625833413550746,0.003224388429992099
BB84,sweep_a,Ideal_0%,f=0.9,QBER,50,0.22122443340907438,0.0028936780690212187
BB84,sweep_a,Ideal_0%,f=0.9,QBER,100,0.2241531603457849,0.002194827582241959
BB84,sweep_a,Ideal_0%,f=0.9,QBER,200,0.2236726791337979,0.0014269884856170404
BB84,sweep_a,Ideal_0%,f=0.9,SKR,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,SKR,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,SKR,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,SKR,100,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,SKR,200,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,FNR,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,FNR,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,FNR,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,FNR,100,0.0,0.0
BB84,sweep_a,Ideal_0%,f=0.9,FNR,200,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,QBER,10,0.2442778456062708,0.006457106173949851
BB84,sweep_a,Ideal_0%,f=1.0,QBER,25,0.24681315945947663,0.003918800317706422
BB84,sweep_a,Ideal_0%,f=1.0,QBER,50,0.24777386912396135,0.0030142888228734143
BB84,sweep_a,Ideal_0%,f=1.0,QBER,100,0.24836458960843052,0.0019853019660171396
BB84,sweep_a,Ideal_0%,f=1.0,QBER,200,0.24869134579535185,0.0014463562426754624
BB84,sweep_a,Ideal_0%,f=1.0,SKR,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,SKR,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,SKR,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,SKR,100,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,SKR,200,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,FNR,10,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,FNR,25,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,FNR,50,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,FNR,100,0.0,0.0
BB84,sweep_a,Ideal_0%,f=1.0,FNR,200,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,QBER,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,QBER,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,QBER,50,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,QBER,100,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,QBER,200,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,SKR,10,0.3340000000000001,0.004464676173400859
Six-State,sweep_a,Ideal_0%,f=0.0,SKR,25,0.33132000000000006,0.002886589683346077
Six-State,sweep_a,Ideal_0%,f=0.0,SKR,50,0.33178,0.001996995702733156
Six-State,sweep_a,Ideal_0%,f=0.0,SKR,100,0.3316200000000001,0.0013825594768655364
Six-State,sweep_a,Ideal_0%,f=0.0,SKR,200,0.33242499999999997,0.0010351228291158414
Six-State,sweep_a,Ideal_0%,f=0.0,FPR,10,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,FPR,25,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,FPR,50,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,FPR,100,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.0,FPR,200,0.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.1,QBER,10,0.03202124539881201,0.002688354293730933
Six-State,sweep_a,Ideal_0%,f=0.1,QBER,25,0.032879012697408526,0.0021086762086451887
Six-State,sweep_a,Ideal_0%,f=0.1,QBER,50,0.032899273939928614,0.0014031112830167364
Six-State,sweep_a,Ideal_0%,f=0.1,QBER,100,0.032952382727961554,0.0010107534288932474
Six-State,sweep_a,Ideal_0%,f=0.1,QBER,200,0.032910944221113396,0.0007110844868605216
Six-State,sweep_a,Ideal_0%,f=0.1,SKR,10,0.19586170823745944,0.008051378854058561
Six-State,sweep_a,Ideal_0%,f=0.1,SKR,25,0.19390946398942513,0.006528432319164328
Six-State,sweep_a,Ideal_0%,f=0.1,SKR,50,0.19474152738231787,0.004768175374618076
Six-State,sweep_a,Ideal_0%,f=0.1,SKR,100,0.19508933937297887,0.003396023766000255
Six-State,sweep_a,Ideal_0%,f=0.1,SKR,200,0.195152376778445,0.002374203148372158
Six-State,sweep_a,Ideal_0%,f=0.1,FNR,10,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.1,FNR,25,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.1,FNR,50,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.1,FNR,100,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.1,FNR,200,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.2,QBER,10,0.06311738487885407,0.002819039638851179
Six-State,sweep_a,Ideal_0%,f=0.2,QBER,25,0.06872221778809635,0.0023799678516077507
Six-State,sweep_a,Ideal_0%,f=0.2,QBER,50,0.06848432989813842,0.0015250110215606764
Six-State,sweep_a,Ideal_0%,f=0.2,QBER,100,0.06804346330521219,0.0012643480785828733
Six-State,sweep_a,Ideal_0%,f=0.2,QBER,200,0.067631439477686,0.0008787439645881246
Six-State,sweep_a,Ideal_0%,f=0.2,SKR,10,0.10662385112822384,0.007371237038662435
Six-State,sweep_a,Ideal_0%,f=0.2,SKR,25,0.09312121224801606,0.0059026064216688365
Six-State,sweep_a,Ideal_0%,f=0.2,SKR,50,0.09331749960905804,0.0038284640712624514
Six-State,sweep_a,Ideal_0%,f=0.2,SKR,100,0.09528435222089604,0.0032223945982253754
Six-State,sweep_a,Ideal_0%,f=0.2,SKR,200,0.09622927285670321,0.0022400731031431884
Six-State,sweep_a,Ideal_0%,f=0.2,FNR,10,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.2,FNR,25,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.2,FNR,50,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.2,FNR,100,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.2,FNR,200,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.3,QBER,10,0.10346191164417902,0.006450429437803347
Six-State,sweep_a,Ideal_0%,f=0.3,QBER,25,0.09745503855011042,0.0029359908639653752
Six-State,sweep_a,Ideal_0%,f=0.3,QBER,50,0.10015261899871991,0.0020895817075994635
Six-State,sweep_a,Ideal_0%,f=0.3,QBER,100,0.09983683140571496,0.0015633319681029778
Six-State,sweep_a,Ideal_0%,f=0.3,QBER,200,0.10018569223002423,0.0011673490529301841
Six-State,sweep_a,Ideal_0%,f=0.3,SKR,10,0.02335949378709277,0.009030448934048377
Six-State,sweep_a,Ideal_0%,f=0.3,SKR,25,0.030061067769526016,0.004447136896883271
Six-State,sweep_a,Ideal_0%,f=0.3,SKR,50,0.025798785239872907,0.003366320702704375
Six-State,sweep_a,Ideal_0%,f=0.3,SKR,100,0.02757979242927912,0.002470630425085798
Six-State,sweep_a,Ideal_0%,f=0.3,SKR,200,0.027559589252847023,0.00186478367338349
Six-State,sweep_a,Ideal_0%,f=0.3,FNR,10,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.3,FNR,25,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.3,FNR,50,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.3,FNR,100,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.3,FNR,200,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.4,QBER,10,0.12748907335283252,0.003787648043727562
Six-State,sweep_a,Ideal_0%,f=0.4,QBER,25,0.13458513534415448,0.0029289413613402815
Six-State,sweep_a,Ideal_0%,f=0.4,QBER,50,0.1333827586503418,0.0021130936743051693
Six-State,sweep_a,Ideal_0%,f=0.4,QBER,100,0.13123970337585933,0.0017910417244409384
Six-State,sweep_a,Ideal_0%,f=0.4,QBER,200,0.13176324018539357,0.0013434097894844089
Six-State,sweep_a,Ideal_0%,f=0.4,SKR,10,0.00013212141750386074,0.0001321214175038607
Six-State,sweep_a,Ideal_0%,f=0.4,SKR,25,5.2848567001544294e-05,5.2848567001544294e-05
Six-State,sweep_a,Ideal_0%,f=0.4,SKR,50,0.0003845059697900383,0.00024856120848363347
Six-State,sweep_a,Ideal_0%,f=0.4,SKR,100,0.0019061067301424782,0.000792963860836432
Six-State,sweep_a,Ideal_0%,f=0.4,SKR,200,0.002013927522624781,0.000511801760485585
Six-State,sweep_a,Ideal_0%,f=0.4,FNR,10,1.0,0.0
Six-State,sweep_a,Ideal_0%,f=0.4,FNR,25,1.0,0.0
