Noise_Profile,S_star,S_H_hat,S_H_std,S_f1_hat,S_f1_std,F_Eve,Mean_S,Std_S,Mean_SKR,Std_SKR,FPR,FNR
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,0.2,2.361970524326767,0.05049081400689022,0.047436797725121715,0.010876179775683555,0.0,1.0
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,0.3,2.2177594229098094,0.04730414451286895,0.021525912889811812,0.009345345238056161,0.0,1.0
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,0.4,2.0839169002609608,0.061070285944144,0.0012869121614054518,0.0031403065716583693,0.0,1.0
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,0.5,1.9492871799283877,0.06713176745082608,0.0,0.0,0.0,0.52
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,0.6,1.8300236002125967,0.054290315849389266,0.0,0.0,0.0,0.02
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,0.7,1.6870778627806684,0.06477419298517743,0.0,0.0,0.0,0.0
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,0.8,1.5654415215031527,0.06875896466691347,0.0,0.0,0.0,0.0
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,0.9,1.4334749001255558,0.06666032170472495,0.0,0.0,0.0,0.0
Noise_2%,1.9446561538027187,2.609197766783808,0.04918604290742575,1.2801145408216295,0.0722722263127857,1.0,1.3070279910079032,0.05864972307180843,0.0,0.0,0.0,0.0
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,0.0,2.279402197222575,0.053837665660000034,0.020467408046402357,0.010642021922322095,0.0,0.0
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,0.1,2.159973048643884,0.06419981258371794,0.00344484403681846,0.005159833163876894,0.0,1.0
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,0.2,2.064615460028128,0.05675785887644366,0.0,0.0,0.0,1.0
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,0.3,1.9491068409575885,0.04996147573103273,0.0,0.0,0.0,1.0
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,0.4,1.8299408163389634,0.06504152049446443,0.0,0.0,0.0,0.96
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,0.5,1.7205828048863685,0.05651116883915653,0.0,0.0,0.0,0.6
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,0.6,1.6177412649944736,0.06237766628731669,0.0,0.0,0.0,0.08
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,0.7,1.4773737858068523,0.06252160221108681,0.0,0.0,0.0,0.0
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,0.8,1.375442319974278,0.06577257317460279,0.0,0.0,0.0,0.0
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,0.9,1.2528003836527306,0.051727403297917016,0.0,0.0,0.0,0.0
Noise_5%,1.721753964156116,2.2835702938005005,0.053857206730226946,1.1599376345117314,0.06383693624092618,1.0,1.169025832474794,0.059836677038572185,0.0,0.0,0.0,0.0
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,0.0,2.004577912854759,0.06307502462093317,0.0,0.0,0.0,0.0
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,0.1,1.9051300889846643,0.055064068658568714,0.0,0.0,0.0,1.0
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,0.2,1.780844039777624,0.05548933746396546,0.0,0.0,0.0,1.0
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,0.3,1.6994500175591543,0.06035876665866589,0.0,0.0,0.0,1.0
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,0.4,1.5917852491705762,0.058775049106998385,0.0,0.0,0.0,0.92
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,0.5,1.4957143045955963,0.05691360733605679,0.0,0.0,0.0,0.4
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,0.6,1.396506490441575,0.05226863053215451,0.0,0.0,0.0,0.0
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,0.7,1.3034448094998903,0.05620090280143404,0.0,0.0,0.0,0.0
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,0.8,1.2073075688318207,0.06405121575093345,0.0,0.0,0.0,0.0
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,0.9,1.0932018240750905,0.07060452276834428,0.0,0.0,0.0,0.0
Noise_8%,1.4992996236195126,1.9928755456506373,0.05265500368826458,1.0057237015883878,0.0475913501810111,1.0,0.9885742618815668,0.05922451101057387,0.0,0.0,0.0,0.0
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,0.0,1.729852326469439,0.065421736019044,0.0,0.0,0.0,0.0
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,0.1,1.6405679301203826,0.05385917148403732,0.0,0.0,0.0,1.0
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,0.2,1.54562818297658,0.06485162666152465,0.0,0.0,0.0,1.0
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,0.3,1.465481597338241,0.059796033124404374,0.0,0.0,0.0,1.0
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,0.4,1.3771496221316502,0.05366718409408521,0.0,0.0,0.0,0.96
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,0.5,1.2950025457859564,0.06134519410146901,0.0,0.0,0.0,0.56
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,0.6,1.2075129303903507,0.058068783745691896,0.0,0.0,0.0,0.06
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,0.7,1.1218469484779257,0.061723829040173143,0.0,0.0,0.0,0.0
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,0.8,1.0361120414431904,0.06184297710643199,0.0,0.0,0.0,0.0
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,0.9,0.9575350683078022,0.04951942356046048,0.0,0.0,0.0,0.0
Threshold_11%,1.293404313095305,1.721334794068174,0.06310908686643361,0.8654738321224362,0.06283233697199134,1.0,0.8715764520717897,0.06052010982432168,0.0,0.0,0.0,0.0
IBM_Marrakesh,2.04786012056169,2.742161227985758,0.1124937700877864,1.3535590131376218,0.16888875521656338,0.0,2.711357720312662,0.15792311769827225,0.169357921524241,0.02204675586732356,0.0,0.0
IBM_Marrakesh,2.04786012056169,2.742161227985758,0.1124937700877864,1.3535590131376218,0.16888875521656338,0.25,2.356712729896949,0.15029294946606586,0.07600012027137718,0.02371869018018868,0.0,1.0
IBM_Marrakesh,2.04786012056169,2.742161227985758,0.1124937700877864,1.3535590131376218,0.16888875521656338,0.5,2.089608846323288,0.17786535757673466,0.006610259745537169,0.012753306435358557,0.0,0.5666666666666667
IBM_Marrakesh,2.04786012056169,2.742161227985758,0.1124937700877864,1.3535590131376218,0.16888875521656338,0.75,1.7052664417429617,0.14774572471588437,0.0,0.0,0.0,0.0
IBM_Marrakesh,2.04786012056169,2.742161227985758,0.1124937700877864,1.3535590131376218,0.16888875521656338,1.0,1.3986547430392298,0.1865009128014965,0.0,0.0,0.0,0.0
