Protocol,Noise_Profile,F_Eve,QBER_Threshold,CHSH_Threshold,Mean_Metric,Std_Metric,Mean_SKR,Std_SKR,FPR,FNR
BB84,Noise_8%,0.2,0.11,N/A,0.12446662752541432,0.014681882752736656,0.002809808752765747,0.008818183670572055,0.0,0.12
BB84,Noise_8%,0.4,0.11,N/A,0.16237002724661534,0.016961388306088697,0.0,0.0,0.0,0.0
BB84,Noise_8%,0.6,0.11,N/A,0.20435956589492052,0.014831768827489806,0.0,0.0,0.0,0.0
BB84,Noise_8%,0.8,0.11,N/A,0.25477990313030746,0.01849504155230856,0.0,0.0,0.0,0.0
BB84,Noise_8%,1.0,0.11,N/A,0.2892402582064696,0.016645712589783097,0.0,0.0,0.0,0.0
BB84,Threshold_11%,0.0,0.11,N/A,0.10698310237171543,0.013206135664053055,0.02130755705390005,0.02763474328962619,0.4,0.0
BB84,Threshold_11%,0.2,0.11,N/A,0.14954407777726403,0.017345954137858523,0.0014161918832875364,0.007351479211159103,0.0,0.04
BB84,Threshold_11%,0.4,0.11,N/A,0.1890683388503218,0.016703907439620316,0.0,0.0,0.0,0.0
BB84,Threshold_11%,0.6,0.11,N/A,0.22537879635648927,0.014262914359812749,0.0,0.0,0.0,0.0
BB84,Threshold_11%,0.8,0.11,N/A,0.26651681229622726,0.017895081933953772,0.0,0.0,0.0,0.0
BB84,Threshold_11%,1.0,0.11,N/A,0.30982267003193287,0.020322566195170373,0.0,0.0,0.0,0.0
BB84,IBM_Marrakesh,0.0,0.11,N/A,0.00577570857392747,0.007036444654812662,0.4636077029727011,0.05337201125084832,0.0,0.0
BB84,IBM_Marrakesh,0.25,0.11,N/A,0.0663703063354168,0.02740337601269581,0.15915068500949134,0.10689574024404067,0.0,0.9333333333333333
BB84,IBM_Marrakesh,0.5,0.11,N/A,0.12289925540513906,0.03505597674606743,0.024991480037596898,0.05406591310478737,0.0,0.3
BB84,IBM_Marrakesh,0.75,0.11,N/A,0.19331916263229,0.03801694052533961,0.0,0.0,0.0,0.0
BB84,IBM_Marrakesh,1.0,0.11,N/A,0.26707528478472947,0.048221664209880485,0.0,0.0,0.0,0.0
Six-State,Ideal_0%,0.0,0.11,N/A,0.0,0.0,0.33518000000000003,0.014441177237330752,0.0,0.0
Six-State,Ideal_0%,0.2,0.11,N/A,0.06549904798331257,0.0162102067555577,0.10381215520850626,0.043667273737648386,0.0,1.0
Six-State,Ideal_0%,0.4,0.11,N/A,0.1340486445437705,0.0202926719003267,0.002073643082209763,0.006169053161208195,0.0,0.16
Six-State,Ideal_0%,0.6,0.11,N/A,0.1992779342612873,0.022029696793394657,0.0,0.0,0.0,0.0
